Ambit,Titularitat,Tipus,Edicio,Assistents,Espai,Organitzador,Festa_nom,fecha,Festivo
,,,,,,,Diada de Sant Jordi,2018-04-23,0
,,,,,,,Nit dels Museus,2018-05-19,0
,,,,,,,L'ou com balla,2018-05-31,0
,,,,,,,L'ou com balla,2018-06-01,0
,,,,,,,L'ou com balla,2018-06-02,0
,,,,,,,L'ou com balla,2018-06-03,0
,,,,,,,Festa de la Ciència,2018-06-09,0
,,,,,,,Festa de la Ciència,2018-06-10,0
,,,,,,,Revetlla de Sant Joan,2018-06-23,0
,,,,,,,Festa Major de Gràcia,2018-08-15,1
,,,,,,,Festa Major de Gràcia,2018-08-16,0
,,,,,,,Festa Major de Gràcia,2018-08-17,0
,,,,,,,Festa Major de Gràcia,2018-08-18,0
,,,,,,,Festa Major de Gràcia,2018-08-19,0
,,,,,,,Festa Major de Gràcia,2018-08-20,0
,,,,,,,Festa Major de Gràcia,2018-08-21,0
,,,,,,,Festa Major de Sants,2018-08-18,0
,,,,,,,Festa Major de Sants,2018-08-19,0
,,,,,,,Festa Major de Sants,2018-08-20,0
,,,,,,,Festa Major de Sants,2018-08-21,0
,,,,,,,Festa Major de Sants,2018-08-22,0
,,,,,,,Festa Major de Sants,2018-08-23,0
,,,,,,,Festa Major de Sants,2018-08-24,0
,,,,,,,Festa Major de Sants,2018-08-25,0
,,,,,,,Festa Major de Sants,2018-08-26,0
,,,,,,,Diada de l'Onze de Setembre,2018-09-11,1
,,,,,,,La Mercè,2018-09-21,0
,,,,,,,La Mercè,2018-09-22,0
,,,,,,,La Mercè,2018-09-23,0
,,,,,,,La Mercè,2018-09-24,0
,,,,,,,La Mercè,2018-09-25,0
,,,,,,,La Mercè,2018-09-26,0
,,,,,,,La Mercè,2018-09-27,0
,,,,,,,La Mercè,2018-09-28,0
,,,,,,,La Mercè,2018-09-29,0
,,,,,,,La Mercè,2018-09-30,0
,,,,,,,La Mercè,2018-10-01,0
,,,,,,,La Mercè,2018-10-02,0
,,,,,,,La Mercè,2018-10-03,0
